Temp_C,Rel Hum_%,Press_kPa,Wind Speed_km/h,weather
-1.8,86,101.24,4,Foggy
-1.8,87,101.24,4,Foggy
-1.5,88,101.23,7,Foggy
-1.4,87,101.27,9,Foggy
-1.5,89,101.29,7,Foggy
-1.4,85,101.26,7,Foggy
-1.4,85,101.23,9,Foggy
-1.3,88,101.2,15,Foggy
-1,91,101.15,9,Foggy
-0.5,89,100.98,7,Foggy
-0.2,88,100.79,9,Foggy
0.2,87,100.58,13,Foggy
0.8,87,100.31,20,Foggy
1.8,85,100.07,22,Foggy
2.6,82,99.93,13,Cloudy
3,81,99.81,13,Cloudy
3.8,82,99.74,15,Rainy
3.1,88,99.68,15,Rainy
3.2,87,99.5,19,Cloudy
4,85,99.39,20,Cloudy
4.4,84,99.32,24,Rainy
5.3,79,99.31,30,Cloudy
5.2,77,99.26,35,Rainy
4.6,72,99.26,39,Cloudy
3.9,71,99.26,32,Cloudy
3.7,69,99.3,33,Cloudy
2.9,69,99.26,32,Cloudy
2.6,70,99.21,32,Cloudy
2.3,70,99.18,26,Cloudy
2,70,99.14,33,Cloudy
1.9,68,99.14,39,Cloudy
1.8,67,99.14,44,Cloudy
1.5,66,99.18,43,Cloudy
2.2,66,99.19,30,Cloudy
1.1,57,99.27,37,Cloudy
1.1,56,99.33,33,Cloudy
0,59,99.41,33,Cloudy
-0.7,55,99.5,24,Cloudy
-4.1,57,99.86,28,Cloudy
-4.8,57,100,24,Cloudy
-7,54,100.26,20,Cloudy
-9.7,54,100.43,20,Cloudy
-12.6,53,100.68,24,Cloudy
-14.8,58,101.07,26,Cloudy
-15,56,101.2,19,Cloudy
-15.3,56,101.29,24,Cloudy
-14.9,54,101.33,22,Cloudy
-17,52,101.86,15,Cloudy
-17.1,52,101.86,20,Cloudy
-17.3,55,101.87,17,Cloudy
-17.5,56,101.88,13,Cloudy
-18.5,61,101.74,11,Cloudy
-18.2,60,101.75,11,Cloudy
-17.8,57,101.73,17,Cloudy
-16.8,61,101.68,9,Cloudy
-15.2,63,101.54,7,Cloudy
-14.2,56,101.41,13,Cloudy
-12.4,53,101.07,11,Cloudy
-9.9,63,100.85,7,Cloudy
-9.4,61,100.83,9,Cloudy
-9.6,56,100.81,13,Cloudy
-10,55,100.81,17,Cloudy
-10.5,61,100.84,9,Cloudy
-10.5,78,100.12,17,Cloudy
-10.5,79,100.13,15,Cloudy
-10.2,80,100.15,11,Cloudy
-9.5,79,100.13,9,Cloudy
-9.3,79,100.16,11,Cloudy
-9,79,100.15,7,Cloudy
-8.7,79,100.13,6,Cloudy
-8.5,80,100.11,0,Cloudy
-8.1,79,100.15,4,Cloudy
-7.8,79,100.12,4,Cloudy
-7.5,79,100.1,6,Cloudy
-6.9,80,100.12,4,Cloudy
-6.7,80,100.12,7,Cloudy
