Temp_C,Rel Hum_%,Press_kPa,Wind Speed_km/h,Weather
-1.8,86,101.24,4,Fog
-1.8,87,101.24,4,Fog
-1.8,89,101.26,7,Freezing Drizzle
-1.5,88,101.27,6,Freezing Drizzle
-1.5,88,101.23,7,Fog
-1.4,87,101.27,9,Fog
-1.5,89,101.29,7,Fog
-1.4,85,101.26,7,Fog
-1.4,85,101.23,9,Fog
-1.3,88,101.2,15,Fog
-1.0,91,101.15,9,Fog
-0.5,89,100.98,7,Fog
-0.2,88,100.79,9,Fog
0.2,87,100.58,13,Fog
0.8,87,100.31,20,Fog
1.8,85,100.07,22,Fog
2.6,82,99.93,13,Mostly Cloudy
3.0,81,99.81,13,Cloudy
3.8,82,99.74,15,Rain
3.1,88,99.68,15,Rain
3.2,87,99.5,19,Cloudy
4.0,85,99.39,20,Cloudy
4.4,84,99.32,24,Rain Showers
5.3,79,99.31,30,Cloudy
5.2,77,99.26,35,Rain Showers
4.6,72,99.26,39,Cloudy
3.9,71,99.26,32,Mostly Cloudy
3.7,69,99.3,33,Mostly Cloudy
2.9,69,99.26,32,Mostly Cloudy
2.6,70,99.21,32,Mostly Cloudy
2.3,70,99.18,26,Mostly Cloudy
2.0,70,99.14,33,Mostly Cloudy
1.9,68,99.14,39,Mostly Cloudy
1.8,67,99.14,44,Mostly Cloudy
1.5,66,99.18,43,Mostly Cloudy
2.2,66,99.19,30,Mostly Cloudy
1.7,56,99.21,48,Mainly Clear
1.1,57,99.27,37,Mostly Cloudy
1.1,56,99.33,33,Mostly Cloudy
0.0,59,99.41,33,Mostly Cloudy
-0.7,55,99.5,24,Mostly Cloudy
-2.1,57,99.66,22,Snow Showers
-4.1,57,99.86,28,Mostly Cloudy
-4.8,57,100.0,24,Mostly Cloudy
-5.6,54,100.07,24,Snow Showers
-5.8,58,100.15,26,Snow Showers
-7.0,54,100.26,20,Cloudy
-7.4,59,100.27,17,Snow Showers
-9.0,57,100.35,28,Snow Showers
-9.7,54,100.43,20,Cloudy
-10.5,65,100.53,22,Snow Showers
-11.3,54,100.61,33,Snow Showers
-12.6,53,100.68,24,Cloudy
-12.9,60,100.76,22,Snow Showers
-13.3,61,100.85,19,Snow Showers
-14.0,63,100.95,19,Snow
-14.8,58,101.07,26,Mostly Cloudy
-15.0,56,101.2,19,Mostly Cloudy
-15.3,56,101.29,24,Cloudy
-14.9,54,101.33,22,Mostly Cloudy
-14.9,52,101.34,20,Mainly Clear
-15.1,54,101.34,22,Mainly Clear
-14.9,50,101.38,22,Mainly Clear
